State,District,Winner,Dem Votes,Rep Votes,Total Votes,Total Wasted,Dem Wasted,Rep Wasted,Eff Gap,Percentile,Adv Dem Wasted,Adv Rep Wasted,Adv Eff Gap,Adv Percentile
ALABAMA,1,REPUBLICAN,116949,211825,328774,164386,116949,47437,21.1428,39.5402,-1,-1,-1,-1
ALABAMA,2,REPUBLICAN,105286,197996,303282,151640,105286,46354,19.4314,36.092,-1,-1,-1,-1
ALABAMA,3,REPUBLICAN,104595,217384,321979,160989,104595,56394,14.9702,28.9655,-1,-1,-1,-1
ALABAMA,4,REPUBLICAN,56237,261553,317790,158894,56237,102657,14.6071,28.5057,-1,-1,-1,-1
ALABAMA,5,REPUBLICAN,0,253094,253094,126546,0,126546,49.9996,94.9425,-1,-1,-1,-1
ALABAMA,6,REPUBLICAN,0,274160,274160,137079,0,137079,49.9996,95.1724,-1,-1,-1,-1
ALABAMA,7,DEMOCRAT,225742,0,225742,112870,112870,0,49.9996,95.4023,-1,-1,-1,-1
ALASKA,0,REPUBLICAN,159856,192126,351982,175990,159856,16134,40.8322,76.092,-1,-1,-1,-1
ARIZONA,1,DEMOCRAT,188469,176709,365178,182588,5879,176709,46.7799,87.1264,-1,-1,-1,-1
ARIZONA,2,DEMOCRAT,209945,170975,380920,190459,19484,170975,39.7698,74.9425,-1,-1,-1,-1
ARIZONA,3,DEMOCRAT,174243,95594,269837,134918,39324,95594,20.8533,38.8506,-1,-1,-1,-1
ARIZONA,4,REPUBLICAN,120484,278002,398486,199242,120484,78758,10.4711,19.5402,-1,-1,-1,-1
ARIZONA,5,REPUBLICAN,183171,262414,445585,222792,183171,39621,32.2161,61.3793,-1,-1,-1,-1
ARIZONA,6,REPUBLICAN,199644,217783,417427,208713,199644,9069,45.6547,84.5977,-1,-1,-1,-1
ARIZONA,7,DEMOCRAT,165452,50226,215678,107838,57612,50226,3.4245,6.4368,-1,-1,-1,-1
ARIZONA,8,REPUBLICAN,170816,251633,422449,211224,170816,40408,30.8695,58.8506,-1,-1,-1,-1
ARIZONA,9,DEMOCRAT,217094,135180,352274,176136,40956,135180,26.7474,50.1149,-1,-1,-1,-1
ARKANSAS,1,REPUBLICAN,0,237596,237596,118797,0,118797,49.9996,95.6322,-1,-1,-1,-1
ARKANSAS,2,REPUBLICAN,148410,184093,332503,166251,148410,17841,39.2685,74.023,-1,-1,-1,-1
ARKANSAS,3,REPUBLICAN,106325,214960,321285,160642,106325,54317,16.1875,30.3448,-1,-1,-1,-1
ARKANSAS,4,REPUBLICAN,75750,191617,267367,133683,75750,57933,6.6639,11.954,-1,-1,-1,-1
CALIFORNIA,1,REPUBLICAN,154073,204190,358263,179131,154073,25058,36.0113,68.7356,-1,-1,-1,-1
CALIFORNIA,2,DEMOCRAT,294435,94320,388755,194377,100057,94320,1.4757,2.7586,-1,-1,-1,-1
CALIFORNIA,3,DEMOCRAT,176043,145945,321988,160993,15048,145945,40.6528,75.6322,-1,-1,-1,-1
CALIFORNIA,4,REPUBLICAN,194731,247291,442022,221010,194731,26279,38.1094,72.8736,-1,-1,-1,-1
CALIFORNIA,5,DEMOCRAT,271233,85227,356460,178229,93002,85227,2.1812,4.1379,-1,-1,-1,-1
CALIFORNIA,6,DEMOCRAT,229648,83466,313114,156556,73090,83466,3.3138,5.977,-1,-1,-1,-1
CALIFORNIA,7,DEMOCRAT,217416,166549,383965,191982,25433,166549,36.7523,69.6552,-1,-1,-1,-1
CALIFORNIA,8,REPUBLICAN,124400,158711,283111,141555,124400,17155,37.8809,72.1839,-1,-1,-1,-1
CALIFORNIA,9,DEMOCRAT,174252,128358,302610,151304,22946,128358,34.8343,66.6667,-1,-1,-1,-1
CALIFORNIA,10,DEMOCRAT,166865,135629,302494,151246,15617,135629,39.6742,74.7126,-1,-1,-1,-1
CALIFORNIA,11,DEMOCRAT,271063,100293,371356,185677,85384,100293,4.0147,7.3563,-1,-1,-1,-1
CALIFORNIA,12,DEMOCRAT,81174,0,81174,40586,40586,0,49.9988,93.1034,-1,-1,-1,-1
CALIFORNIA,13,DEMOCRAT,327863,34955,362818,181408,146453,34955,30.7311,58.1609,-1,-1,-1,-1
CALIFORNIA,14,DEMOCRAT,278300,72705,351005,175502,102797,72705,8.5731,16.5517,-1,-1,-1,-1
